Nev;Kategoria;Energia_kj;Energia_kcal;Feherje_g;Zsir_g;Szenhidrat_g
Albert keksz;Édesipari termékek;1855;443;8.7;12;7.
Alföldi kenyér;Kenyérfélék;1054;251;9.8;1.4;53.1
Alma, jonatán;Zöldség- és főzelékfélék, gyümölcsök;126;30;0.4;0.4;7
Aludttej, félzsíros;Erjesztett tejtermékek;172;41;3.4;1;4.6
Amur;Halak és halkészítmények;588;141;18;7.5;0.2
Ananász (friss);Zöldség- és főzelékfélék, gyümölcsök;213;51;0.4;0.7;12
Angolna;Halak és halkészítmények;1200;285;15;25;0
Angolszalonna;Zsiradékok;2033;486;16.8;46.5;0
Anikó sajt;Erjesztett tejtermékek;1420;338;24.2;26;1.8
Anyatej;Tej és tejtermékek;263;63;1.2;3.5;6.7
Bab (száraz);Hüvelyesek;1310;313;21.9;1;54.1
Babapiskóta;Édesipari termékek;1634;389;9.7;4.4;77.7
Bakonyi barna kenyér;Kenyérfélék;1020;245;8.5;0.8;50.6
Balaton sajt;Erjesztett tejtermékek;1445;344;22.8;27.3;1.7
Balin;Halak és halkészítmények;500;120;17.8;5.5;0
Banán;Zöldség- és főzelékfélék, gyümölcsök;431;103;1.3;0.1;24.2
Bárányhús, juhhús, sovány;Hús és húskészítmények;812;194;19.7;12.7;0.3
Baromfimortadella;Hús és húskészítmények;960;230;20.2;16.5;0
Baromfivirsli;Hús és húskészítmények;795;190;18.8;13;0
Békacomb;Halak és halkészítmények;490;115;24.2;0.9;2.9
Bimbós kel;Zöldség- és főzelékfélék, gyümölcsök;206;49;4.9;0.6;6.1
Birkahús;Hús és húskészítmények;1285;306;16.9;26.4;0.3
Birsalma;Zöldség- és főzelékfélék, gyümölcsök;172;41;0.6;0.9;9.1
Boci tejcsokoládé;Édesipari termékek;2320;554;9.3;34.1;52.8
Boci, ízesített sajt;Erjesztett tejtermékek;1159;276;11.5;24.9;1.5
Borjúhús;Hús és húskészítmények;502;110;19.5;4.5;0.3
Borjúmáj, marhamáj;Hús és húskészítmények;527;126;20.9;3.1;3.6
Borjúvelő, marhavelő, sertésvelő;Hús és húskészítmények;473;113;9;8.6;0
Borsó (száraz);Hüvelyesek;1368;327;21.7;1.5;53.1
Brokkoli;Zöldség- és főzelékfélék, gyümölcsök;100;24;3.3;0.2;2.1
Budapest, Derby sajt;Erjesztett tejtermékek;1193;284;16.7;23.4;1.6
Burgonya, nyári;Zöldség- és főzelékfélék, gyümölcsök;356;85;2.5;0.2;18.4
Burgonya, téli;Zöldség- és főzelékfélék, gyümölcsök;385;92;2.5;0.2;20
Burgonyapürépor;Zöldség- és főzelékfélék, gyümölcsök;1500;370;8.4;0.7;80
Busa;Halak és halkészítmények;384;92;18;1.9;0.6
Búzacsíra;Gabonafélék;2134;508;25;8;42
Búzadara;Gabonafélék;1423;340;9.4;1;73.4
Búzakorpa;Gabonafélék;2176;518;15;5.5;51
Búzaliszt(főző);Gabonafélék;1443;345;13.5;1;70.4
Búzamag, búzaliszt, teljes;Gabonafélék;1390;331;14.4;1.8;64.4
Camembert-Bakony sajt;Erjesztett tejtermékek;1256;299;21.5;23;1.5
Camembert-Tihany sajt, Séd brie;Erjesztett tejtermékek;1592;379;18.2;33.4;1.4
Camping, Víkend sajt;Erjesztett tejtermékek;1302;310;16.5;26.4;1.7
Céklarépa;Zöldség- és főzelékfélék, gyümölcsök;126;30;1.3;0.1;5.9
Cikória;Zöldség- és főzelékfélék, gyümölcsök;64;16;1.3;0.2;2.3
Citrom;Zöldség- és főzelékfélék, gyümölcsök;105;25;0.4;5.8;2.3
Citromos, narancsos ostya;Édesipari termékek;2320;555;3.2;32.1;63.4
Cukkini;Zöldség- és főzelékfélék, gyümölcsök;126;30;1.5;0.4;5.3
Cukor (kristály, kocka, por);Édesipari termékek;1670;400;0;0;99.9
Cukordinnye;Zöldség- és főzelékfélék, gyümölcsök;188;45;0.3;0.1;11.1
Csabai kolbász;Hús és húskészítmények;1916;458;19.8;41.9;0.3
Csabai paprikás szalámi;Hús és húskészítmények;2059;492;19.6;45.8;0.3
Csabai vékony szalámi;Hús és húskészítmények;2070;495;22.7;44.7;0
Császárhús;Zsiradékok;1920;459;10;45;0
Csécsi szalonna;Zsiradékok;3404;814;3.1;85.9;0
Csemege debreceni kolbász;Hús és húskészítmények;1284;307;15.7;27;0.2
Csemege gépkaraj;Hús és húskészítmények;490;117;22;3;70
Csemege uborka;Zöldség- és főzelékfélék, gyümölcsök;65;15;0.6;0.1;2.6
Cseresznye;Zöldség- és főzelékfélék, gyümölcsök;255;61;0.8;0.7;14
Cserkész- (úttörő)kolbász;Hús és húskészítmények;1702;335;16.3;29.8;0.3
Csiperke, termesztett;Zöldség- és főzelékfélék, gyümölcsök;163;39;5.9;0.2;3.3
Csipkebogyóíz;Zöldség- és főzelékfélék, gyümölcsök;1018;242;0.5;0.6;58
Csirkecomb;Hús és húskészítmények;556;136;20.9;5.2;0.5
Csirkemáj;Hús és húskészítmények;525;125;20;3.7;3
Csirkemell;Hús és húskészítmények;440;110;24.7;1;0.5
Csokoládépuding;Erjesztett tejtermékek;415;99;3.7;1.8;17
Csokoládés mogyoró drazsé;Édesipari termékek;2225;532;7.2;30.2;56.8
Csongrádi fűszerezett krémtúró;Erjesztett tejtermékek;382;91;12;3;4
Csontvelő;Hús és húskészítmények;3439;822;3.2;89.9;0
Darabolt, préselt bacon;Hús és húskészítmények;1735;415;11;41;0
Datolya (préselt);Zöldség- és főzelékfélék, gyümölcsök;1264;301;1.9;1.3;72.5
Dió;Olajos magvak;2740;654;18.6;57;11.7
Diós búrkifli;Kenyérfélék;1778;425;7.3;24;45.2
Disznósajt;Hús és húskészítmények;1314;310;14.5;28.3;0.2
Egres;Zöldség- és főzelékfélék, gyümölcsök;159;38;0.6;1.4;8
Eidami sajt;Erjesztett tejtermékek;1474;351;26.2;26.6;1.7
Éticsiga;Halak és halkészítmények;334;80;17.6;1;0.2
Extra barna bonbon;Édesipari termékek;2275;545;9.9;31.1;54.9
Extra kenőmájas;Hús és húskészítmények;1315;315;15.4;28;0
Fácánhús;Hús és húskészítmények;452;108;22.3;1.9;0.5
Fagylalt, tejszínes;Édesipari termékek;896;214;7.2;6.4;36
Farmerkolbász;Hús és húskészítmények;2320;555;15.5;55;0
Fehér, nyers szalonna;Zsiradékok;2925;699;4.2;75.8;0
Fejes káposzta;Zöldség- és főzelékfélék, gyümölcsök;130;31;1.6;0.2;5.7
Fejes saláta;Zöldség- és főzelékfélék, gyümölcsök;64;16;1.4;0.3;2
Feketegyökér;Zöldség- és főzelékfélék, gyümölcsök;160;38;4.3;0.9;5.1
Félbarna kenyér;Kenyérfélék;1075;257;9.8;1;52.3
Fogas;Halak és halkészítmények;351;84;19;0.8;0.2
Fogolyhús;Hús és húskészítmények;396;94;20.5;1.2;0.4
Fokhagyma;Zöldség- és főzelékfélék, gyümölcsök;559;133;6.8;0.1;26.3
Földimogyoró;Olajos magvak;2560;610;26.7;47.2;14.7
Füge (szárított);Zöldség- és főzelékfélék, gyümölcsök;1100;270;3.5;1.3;62
Fürjcomb;Hús és húskészítmények;538;128;19.6;5;1.2
Fürjmell;Hús és húskészítmények;487;116;22.8;2.3;1.1
Fürjtojás, egész;Tojások;630;150;12.5;10.8;0.7
Füstölt angolna;Halak és halkészítmények;1949;466;27.7;39.4;0.2
Füstölt hús, sonka;Hús és húskészítmények;1531;366;17.2;33;0.1
Füstölt kolbász;Hús és húskészítmények;1222;292;15.5;25.4;0.3
Füstölt, főtt tarja;Hús és húskészítmények;840;201;15;15;0
Galamb;Hús és húskészítmények;538;128;19.6;5;1.2
Gépsonka;Hús és húskészítmények;637;156;22.6;7.1;0.4
Gesztenye;Olajos magvak;700;167;4.8;1.5;32.6
Gomolyatúró, zsíros;Erjesztett tejtermékek;882;210;14.7;22.5;2.8
Göcseji, Misi sajt;Erjesztett tejtermékek;1277;304;22.2;23.3;1.4
Görögdinnye;Zöldség- és főzelékfélék, gyümölcsök;122;29;0.5;0.2;6.5
Graham-(búza)kenyér;Kenyérfélék;1110;265;10.1;1;54
Grapefruit;Zöldség- és főzelékfélék, gyümölcsök;146;35;0.5;1.6;7.2
Gyulai páros, főzőkolbász;Hús és húskészítmények;1640;392;17.8;35.5;0.3
Gyümölcsfagylalt;Édesipari termékek;526;126;3;0;28.5
Habosított krémtúrók;Erjesztett tejtermékek;550;131;11;3;15
Habroló (üres, töltetlen);Kenyérfélék;2188;521;8.1;35.2;43
Habtejszín;Erjesztett tejtermékek;1221;292;2.6;30;3
Hajdú sajt;Erjesztett tejtermékek;1537;366;25;28.9;1.5
Harcsa;Halak és halkészítmények;326;78;17.5;0.8;0.2
Házi szárazkolbász;Hús és húskészítmények;2070;495;22.9;44.7;0
Házifehér kenyér;Kenyérfélék;1092;261;10;0.8;53.5
Háztartási keksz;Édesipari termékek;1640;392;9.8;6.8;78
Hek;Halak és halkészítmények;374;89;20;0.9;0
Hering, göngyölt;Halak és halkészítmények;904;216;19.8;14.8;1
Hering, mustáros;Halak és halkészítmények;665;159;15.9;11.7;2.5
Hering, olajos;Halak és halkészítmények;1540;368;15.9;33.8;0
Hering, paradicsomos;Halak és halkészítmények;879;254;18.9;14.6;0.8
Hot dog kolbász;Hús és húskészítmények;1650;393;14.1;37.4;0
Hóvirág kétszersült, édes;Kenyérfélék;1623;388;11.3;5.1;74.2
Hóvirág kétszersült, sós;Kenyérfélék;1699;406;11.3;4.1;80.4
Hóvirág, Mecseki tömbsajt;Erjesztett tejtermékek;1266;303;21;23.4;2
Húskenyér;Hús és húskészítmények;960;230;15.6;18.5;0
Ilmici sajt;Erjesztett tejtermékek;1360;324;23.9;24.8;1.5
Író;Erjesztett tejtermékek;138;33;3.2;0.5;3.8
Ízesített, kenhető sajt;Erjesztett tejtermékek;1189;283;15.5;23.7;1.9
Jégkrém, csokoládés, poharas;Édesipari termékek;643;153;3.7;3.9;28.3
Joghurt, gyümölcsös;Erjesztett tejtermékek;307;73;3.5;2;10.3
Joghurthab, citromos;Erjesztett tejtermékek;423;101;4.5;2.8;14.3
Joghurthab, epres;Erjesztett tejtermékek;469;112;4.2;2.6;17.8
